hotel_class,name,id,locality,region
2.5,Holiday Inn Express Phoenix Downtown,223273,Phoenix,AZ
2.5,Comfort Suites Phoenix / MetroCenter,74834,Phoenix,AZ
3.5,Legacy Golf Resort,74626,Phoenix,AZ
3.0,Courtyard by Marriott Phoenix West/Avondale,677854,Phoenix,AZ
3.5,Embassy Suites Hotel Phoenix Biltmore,112154,Phoenix,AZ
3.0,Homewood Suites by Hilton Phoenix-Metro Center,119353,Phoenix,AZ
3.0,Residence Inn Phoenix Desert View at Mayo Clinic,1158679,Phoenix,AZ
2.5,Fairfield Inn & Suites - Phoenix,240682,Phoenix,AZ
2.5,Country Inn & Suites Deer Valley,119363,Phoenix,AZ
2.0,Americas Best Value Inn - Downtown Phoenix,816807,Phoenix,AZ
4.0,Marriott's Canyon Villas,286542,Phoenix,AZ
3.0,Hilton Garden Inn Phoenix Airport,223035,Phoenix,AZ
2.5,La Quinta Inn & Suites Phoenix Chandler,74927,Phoenix,AZ
3.0,Hilton Garden Inn Phoenix Airport North,1176581,Phoenix,AZ
3.0,Homewood Suites Phoenix Airport South,1485459,Phoenix,AZ
3.0,Holiday Inn Hotel & Suites Phoenix Airport,1657449,Phoenix,AZ
3.0,Homewood Suites Phoenix North - Happy Valley,1201061,Phoenix,AZ
2.0,Comfort Inn West,74845,Phoenix,AZ
3.5,Renaissance Phoenix Downtown,73757,Phoenix,AZ
2.5,La Quinta Inn & Suites Phoenix I-10 West,634649,Phoenix,AZ
3.5,Sheraton Crescent Hotel,73947,Phoenix,AZ
3.0,Drury Inn & Suites Happy Valley,1605022,Phoenix,AZ
2.0,Budget Lodge Downtown Phoenix,119365,Phoenix,AZ
